ae,lateral_length_m,q_std_th_m3_day
0.1,100.0,23.336177154161646
0.1,200.0,37.08855977253804
0.1,300.0,48.41152085982667
0.1,400.0,58.33141970526414
0.1,500.0,67.29734525169158
0.1,600.0,75.55595732662836
0.1,700.0,83.26053032624758
0.1,800.0,90.51420635329667
0.1,900.0,97.39041693181754
0.1,1000.0,103.94368032985388
0.1,1100.0,110.21574162897285
0.1,1200.0,116.23946988599589
0.1,1300.0,122.04129435110201
0.1,1400.0,127.64272665157681
0.1,1500.0,133.06168776966086
0.2,100.0,34.20519597215698
0.2,200.0,54.37873177510066
0.2,300.0,70.99136678612672
0.2,400.0,85.54487303734969
0.2,500.0,98.69476628727041
0.2,600.0,110.80067460414183
0.2,700.0,122.0856247472698
0.2,800.0,132.69930706702843
0.2,900.0,142.74801127973694
0.2,1000.0,152.3104392192129
0.2,1100.0,161.44657353555428
0.2,1200.0,170.20354179510977
0.2,1300.0,178.61915057596946
0.2,1400.0,186.7239060907402
0.2,1500.0,194.54326641134568
0.3,100.0,42.772630528702315
0.3,200.0,68.00544367413622
0.3,300.0,88.78470072602246
0.3,400.0,106.98248835727047
0.3,500.0,123.41683548304663
0.3,600.0,138.5353476709634
0.3,700.0,152.61494584364752
0.3,800.0,165.84118838488922
0.3,900.0,178.34530904434007
0.3,1000.0,190.22422404206486
0.3,1100.0,201.55188892043236
0.3,1200.0,212.38575323869483
0.3,1300.0,222.7719594585108
0.3,1400.0,232.74792633811813
0.3,1500.0,242.3448650863379
